CpuMaxMemory,EpLenMean,EpRewMean,GpuMaxMemory,IPS_total,Iter,Misc/FrameRewMean,Misc/InteractCount,Misc/TimeElapsed,Opt/approxkl,Opt/clipfrac,Opt/entropy,Opt/loss_pi,Opt/loss_vf,Opt/negent,Opt/pg,Opt/pi_kl,VFStats/AdvMean,VFStats/AdvStd,VFStats/EV,VFStats/VpredMean,VFStats/VpredStd,VFStats/VtargMean,VFStats/VtargStd,del_time,wait_optimization,scaled/pol_distance,scaled/vf_aux,scaled/vf_true,unscaled/pol_distance,unscaled/vf_aux,unscaled/vf_true,EvalEpMean
3178676000.0,80.38461538461539,-0.9487179517745972,12268077568.0,1036.5073072209937,0.0,-0.0098000792786479,4096.0,3.951732873916626,3.0531133177191805e-15,0.0,2.706488609313965,-0.027064908295869827,0.13848578929901123,-0.027064885944128036,-2.2351741790771484e-08,0.0,-0.15709659457206726,0.5023483037948608,0.0020957449505003556,0.009034156799316406,0.015103818848729134,-0.14806242287158966,0.502875566482544,3.951732873916626,1.0137395858764648,,,,,,,
3378840000.0,88.9047619047619,-2.202380895614624,12485313536.0,1086.083740222722,1.0,-0.011798212304711342,8192.0,7.723081111907959,3.733124920302089e-15,0.0,2.7000222206115723,-0.027000224217772484,0.12688666582107544,-0.027000222355127335,-2.3283064365386963e-09,0.0,-0.1022234857082367,0.4933387339115143,-0.012772321344449722,-0.31306618452072144,0.09115703403949738,-0.41528964042663574,0.49021804332733154,3.771348237991333,0.995995283126831,,,,,,,
3576572000.0,88.18,-2.990000009536743,12485313536.0,1093.8206103985694,2.0,-0.015385432168841362,12288.0,11.467753648757935,3.0878077872387166e-15,0.0,2.7007832527160645,-0.027007823809981346,0.18335238099098206,-0.027007831260561943,7.450580596923828e-09,0.0,-0.04358077794313431,0.6040650606155396,0.008531790533195194,-0.7437011003494263,0.23074960708618164,-0.7872818112373352,0.6066585183143616,3.7446725368499756,0.995905876159668,,,,,,,
3774308000.0,80.36,-2.509999990463257,12485313536.0,1082.8884412187542,3.0,-0.010388234630227089,16384.0,15.250230073928833,3.164135620181696e-15,0.0,2.7003703117370605,-0.02700372412800789,0.23674286901950836,-0.027003701776266098,-2.2351741790771484e-08,0.0,0.12859636545181274,0.6760623455047607,0.14607845886651016,-1.2442286014556885,0.36692723631858826,-1.1156322956085205,0.7316069006919861,3.7824764251708984,0.9957034587860107,,,,,,,
3971780000.0,79.5,-2.0899999141693115,12485313536.0,1067.0793142242694,4.0,-0.011865321546792984,20480.0,19.0887451171875,2.831068712794149e-15,0.0,2.7019386291503906,-0.02701938897371292,0.18307223916053772,-0.027019385248422623,-3.725290298461914e-09,0.0,0.05294277146458626,0.6028517484664917,0.057332484335733125,-0.8642805814743042,0.2681264579296112,-0.8113378286361694,0.6209136843681335,3.838515043258667,0.9957525730133057,,,,,,,
4169252000.0,77.47,-1.7100000381469727,12485313536.0,1062.2959831426317,5.0,-0.011060496792197227,24576.0,22.944544315338135,3.066991105526995e-15,0.0,2.699265480041504,-0.02699265070259571,0.17931529879570007,-0.02699265442788601,3.725290298461914e-09,0.0,-0.011100073345005512,0.5988279581069946,0.016513176493064052,-0.6392373442649841,0.18056632578372955,-0.6503374576568604,0.603834331035614,3.8557991981506348,0.9958651065826416,,,,,,,
4366984000.0,81.57,-2.2100000381469727,12485313536.0,1092.6862027472428,6.0,-0.01410601381212473,28672.0,26.69310450553894,2.949029909160572e-15,0.0,2.6987433433532715,-0.02698741853237152,0.1494429111480713,-0.026987433433532715,1.4901161193847656e-08,0.0,-0.11421120911836624,0.5347068905830383,0.03198964206810062,-0.44552114605903625,0.10380984097719193,-0.5597323179244995,0.5434701442718506,3.7485601902008057,0.9963216781616211,,,,,,,
4564456000.0,84.73,-2.4600000381469727,12485313536.0,1068.760066141697,7.0,-0.010574578307569027,32768.0,30.525583028793335,3.6637359812630166e-15,0.0,2.692561388015747,-0.02692561037838459,0.15141844749450684,-0.02692561410367489,3.725290298461914e-09,0.0,-0.05430823564529419,0.547686755657196,0.03868903332122842,-0.4033229351043701,0.12893657386302948,-0.4576311707496643,0.5585991144180298,3.8324785232543945,0.9954977035522461,,,,,,,
4761928000.0,82.74,-2.1500000953674316,12485313536.0,1074.6574321321766,8.0,-0.013179097324609756,36864.0,34.33703017234802,4.503342143635791e-15,0.0,2.679933786392212,-0.026799341663718224,0.18797801434993744,-0.026799337938427925,-3.725290298461914e-09,0.0,-0.11426655948162079,0.6024847030639648,0.0427087280988625,-0.4225413203239441,0.14088957011699677,-0.5368078947067261,0.6157776713371277,3.8114471435546875,0.9956042766571045,,,,,,,
4959664000.0,77.97,-2.430000066757202,12485313536.0,1095.0019018632447,9.0,-0.012077704071998596,40960.0,38.0776629447937,4.81906181626357e-15,0.0,2.6572399139404297,-0.026572393253445625,0.16017796099185944,-0.026572398841381073,5.587935447692871e-09,0.0,-0.04928439483046532,0.563918948173523,0.022730337149164503,-0.45571640133857727,0.1378353089094162,-0.5050007700920105,0.570439338684082,3.7406327724456787,0.9958810806274414,,,,,,,
5157136000.0,77.3,-2.0299999713897705,12485313536.0,1102.836016664634,10.0,-0.011391712352633476,45056.0,41.79172372817993,5.230191280070073e-15,0.0,2.5804882049560547,-0.025804884731769562,0.14242839813232422,-0.025804881006479263,-4.6566128730773926e-09,0.0,-0.0512918084859848,0.5313142538070679,0.05216302665436556,-0.5732886791229248,0.15418969094753265,-0.6245805025100708,0.5457385182380676,3.7140607833862305,0.996295690536499,,,,,,,
5355664000.0,84.38,-2.5999999046325684,12485313536.0,1091.204298183563,11.0,-0.015667133033275604,49152.0,45.545374631881714,5.969183480836193e-15,0.0,2.4610300064086914,-0.024610305204987526,0.2059929072856903,-0.024610299617052078,-5.587935447692871e-09,0.0,-0.05158194899559021,0.6398633122444153,0.008432480098606754,-0.6606460809707642,0.1923815757036209,-0.712228000164032,0.6425783634185791,3.7536509037017822,0.9961013793945312,,,,,,,
5553136000.0,84.17,-2.680000066757202,12485313536.0,1090.9457659932725,12.0,-0.014672600664198399,53248.0,49.299915075302124,6.213779490948923e-15,0.0,2.3480167388916016,-0.023480169475078583,0.19244179129600525,-0.023480167612433434,-1.862645149230957e-09,0.0,-0.046348877251148224,0.6187316179275513,0.06732443351251371,-0.7169506549835205,0.21000432968139648,-0.7632995843887329,0.6406739354133606,3.75454044342041,0.9958178997039795,,,,,,,
5751664000.0,82.89,-2.4700000286102295,12485313536.0,1079.196013200967,13.0,-0.011917848140001297,57344.0,53.095333099365234,7.837480664463214e-15,0.0,2.0840258598327637,-0.02084025740623474,0.18230006098747253,-0.02084025740623474,0.0,0.0,0.05530770123004913,0.6013563275337219,-0.006700772778494457,-0.9249682426452637,0.2606809437274933,-0.8696605563163757,0.5993515849113464,3.7954180240631104,0.9957432746887207,,,,,,,
5948964000.0,85.54,-2.4800000190734863,12485313536.0,1088.6054385443651,14.0,-0.00993946474045515,61440.0,56.85794520378113,9.069134332406747e-15,0.0,1.724609375,-0.017246108502149582,0.17748689651489258,-0.017246093600988388,-1.4901161193847656e-08,0.0,0.024670373648405075,0.5953584313392639,0.07207044730855117,-0.8532015085220337,0.24102172255516052,-0.8285311460494995,0.6180462837219238,3.7626121044158936,0.9958963394165039,,,,,,,
6147492000.0,89.24,-2.180000066757202,12485313536.0,1082.0452362595743,15.0,-0.009094886481761932,65536.0,60.64336919784546,9.591286098675766e-15,0.0,1.2815372943878174,-0.012815378606319427,0.14834138751029968,-0.01281537301838398,-5.587935447692871e-09,0.0,0.05836956575512886,0.5416154861450195,0.004534581290663642,-0.8269197940826416,0.25698381662368774,-0.7685502171516418,0.5428476929664612,3.785423994064331,0.9959557056427002,,,,,,,
6344172000.0,89.1,-1.7300000190734863,12485313536.0,1087.5202983601107,16.0,-0.007439306005835533,69632.0,64.40973567962646,1.0609568779074152e-14,0.0,1.0200891494750977,-0.010200884193181992,0.11314928531646729,-0.010200891643762589,7.450580596923828e-09,0.0,0.06339046359062195,0.47152358293533325,0.090401713970506,-0.8309713006019592,0.22171315550804138,-0.7675808668136597,0.4944002628326416,3.766366481781006,0.995884895324707,,,,,,,
6541908000.0,87.61,-1.440000057220459,12485313536.0,1101.0993249145808,17.0,-0.00829378142952919,73728.0,68.12965440750122,1.2179493524833163e-14,0.0,1.5440049171447754,-0.015440045855939388,0.14251253008842468,-0.015440048649907112,2.7939677238464355e-09,0.0,0.038107506930828094,0.5325806736946106,-0.00993566548484548,-0.6519432067871094,0.186644047498703,-0.6138358116149902,0.5299544334411621,3.719918727874756,0.9962341785430908,,,,,,,
