CpuMaxMemory,EpLenMean,EpRewMean,GpuMaxMemory,IPS_total,Iter,Misc/FrameRewMean,Misc/InteractCount,Misc/TimeElapsed,Opt/approxkl,Opt/clipfrac,Opt/entropy,Opt/loss_pi,Opt/loss_vf,Opt/negent,Opt/pg,Opt/pi_kl,VFStats/AdvMean,VFStats/AdvStd,VFStats/EV,VFStats/VpredMean,VFStats/VpredStd,VFStats/VtargMean,VFStats/VtargStd,del_time,wait_optimization,scaled/pol_distance,scaled/vf_aux,scaled/vf_true,unscaled/pol_distance,unscaled/vf_aux,unscaled/vf_true,EvalEpMean
3043372000.0,80.33333333333333,-1.9333332777023315,11965495808.0,1685.2710878262467,0.0,-0.01122883427888155,4096.0,2.430469512939453,3.802513859341161e-15,0.0,2.7064437866210938,-0.027064435184001923,0.1600567102432251,-0.027064437046647072,1.862645149230957e-09,0.0,-0.16061027348041534,0.542576789855957,-0.0014000453957938586,0.02408219501376152,0.011174866929650307,-0.13652807474136353,0.5421974658966064,2.430469512939453,1.0256750583648682,,,,,,,
3094168000.0,85.61904761904762,-2.261904716491699,12031147008.0,1808.45982304328,1.0,-0.011915476061403751,8192.0,4.695380210876465,3.851086116668512e-15,0.0,2.7035484313964844,-0.027035491541028023,0.17129574716091156,-0.027035484090447426,-7.450580596923828e-09,0.0,-0.1278279721736908,0.5712540745735168,0.02146515423493034,-0.2653203308582306,0.04951504245400429,-0.3931483030319214,0.5774855613708496,2.2649106979370117,0.9971604347229004,,,,,,,
3143532000.0,89.62,-2.2699999809265137,12031147008.0,1817.1592955333822,2.0,-0.010370824486017227,12288.0,6.949447870254517,5.336009412104659e-15,0.0,2.687560558319092,-0.026875602081418037,0.16662158071994781,-0.026875605806708336,3.725290298461914e-09,0.0,-0.0042984820902347565,0.5773266553878784,0.035187728143842856,-0.7208656668663025,0.12960723042488098,-0.7251641750335693,0.5877602100372314,2.2540676593780518,0.9966957569122314,,,,,,,
3192636000.0,91.87,-2.4800000190734863,12031147008.0,1833.6598671664478,3.0,-0.016120675951242447,16384.0,9.183231830596924,6.189493362285248e-15,0.0,2.6755475997924805,-0.02675546333193779,0.2617757320404053,-0.026755474507808685,1.1175870895385742e-08,0.0,0.053532835096120834,0.7216735482215881,-0.0021285482661366206,-1.205418586730957,0.23016850650310516,-1.151885747909546,0.7209068536758423,2.2337839603424072,0.9968273639678955,,,,,,,
3242004000.0,82.54,-2.200000047683716,12031147008.0,1734.3323066573225,4.0,-0.00968923233449459,20480.0,11.544947624206543,6.9909356081865326e-15,0.0,2.6418614387512207,-0.026418613269925117,0.17549338936805725,-0.026418613269925117,0.0,0.0,0.1354890614748001,0.5768108367919922,-0.013485810180741575,-1.0090792179107666,0.17885722219944,-0.8735901713371277,0.5729603171348572,2.361715793609619,0.9979629516601562,,,,,,,
3291108000.0,76.92,-1.75,12031147008.0,1768.1957199663032,5.0,-0.01177954114973545,24576.0,13.861433267593384,6.271025365656158e-15,0.0,2.5583276748657227,-0.025583265349268913,0.16873911023139954,-0.02558327652513981,1.1175870895385742e-08,0.0,0.0068143028765916824,0.5809597373008728,0.02411961622684855,-0.643539547920227,0.09819935262203217,-0.6367253065109253,0.5880953073501587,2.316485643386841,0.9966650009155273,,,,,,,
3340212000.0,77.69,-2.140000104904175,12031147008.0,1804.8485012499564,6.0,-0.014480997808277607,28672.0,16.130875825881958,7.287573322578567e-15,0.0,2.526366949081421,-0.025263670831918716,0.17919203639030457,-0.025263668969273567,-1.862645149230957e-09,0.0,-0.07723964750766754,0.5937206149101257,-0.01619737022329648,-0.4383639097213745,0.06757838279008865,-0.5156035423278809,0.588969886302948,2.269442558288574,0.9970428943634033,,,,,,,
3389580000.0,79.11,-1.8899999856948853,12031147008.0,1788.7351499232807,7.0,-0.008381213992834091,32768.0,18.420762062072754,6.5416422279085396e-15,0.0,2.4270198345184326,-0.024270201101899147,0.1489953249692917,-0.02427019737660885,-3.725290298461914e-09,0.0,-0.044219523668289185,0.5441576838493347,0.016183191324581125,-0.37062519788742065,0.06256959587335587,-0.41484469175338745,0.5486149191856384,2.289886236190796,0.9967458248138428,,,,,,,
3438684000.0,79.5,-1.2699999809265137,12031147008.0,1813.18971354234,8.0,-0.0083536421880126,36864.0,20.67976450920105,7.589415207398531e-15,0.0,2.345187187194824,-0.023451875895261765,0.11373259127140045,-0.023451872169971466,-3.725290298461914e-09,0.0,-0.01332671009004116,0.4768051207065582,-0.004335138520084714,-0.35598671436309814,0.06172037497162819,-0.36931341886520386,0.47577494382858276,2.259002447128296,0.996586799621582,,,,,,,
3488052000.0,76.05,-1.690000057220459,12031147008.0,1768.1514981853152,9.0,-0.013867801055312157,40960.0,22.996308088302612,9.246076126956382e-15,0.0,2.163975715637207,-0.021639758720993996,0.16994687914848328,-0.021639756858348846,-1.862645149230957e-09,0.0,-0.08921767771244049,0.5762074589729309,-0.030629026193057074,-0.36087819933891296,0.0737212672829628,-0.45009586215019226,0.5675808191299438,2.3165435791015625,0.9964251518249512,,,,,,,
